,Geographic Cluster Name,Category Name,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,other,No.,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita
860,IRVING PARK,Healthcare,face_to_face,6,80.0,69.5,41.954336805,13.333333333333334,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.0014992784722352367
861,IRVING PARK,Helping Your Community.,face_to_face,3,250.0,11.0,41.95491536666667,83.33333333333333,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.004685245225735115
862,IRVING PARK,Managing Money.,face_to_face,6,54.0,99.0,41.954128270000005,9.0,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.0010120129687587848
863,IRVING PARK,Music & Art.,face_to_face,511,30790.0,35.0,41.95469016303308,60.25440313111546,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.5770348020015368
864,IRVING PARK,Music & Art.,online,73,1618.0,49.73972602739726,41.955285234444446,22.164383561643834,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.030322907100957665
865,IRVING PARK,Nature.,face_to_face,87,2603.0,39.827586206896555,41.950250648505765,29.919540229885058,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.04878277329035402
866,IRVING PARK,Nature.,online,9,117.0,78.33333333333333,41.94838884555557,13.0,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.0021926947656440337
867,IRVING PARK,Performance.,face_to_face,12,187.0,21.083333333333332,41.95198599833334,15.583333333333334,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.003504563428849866
868,IRVING PARK,Reading & Writing.,face_to_face,63,4943.0,16.77777777777778,41.95430156269846,78.46031746031746,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.09263666860323469
869,IRVING PARK,Reading & Writing.,online,2,1833.0,52.5,41.96266556,916.5,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.03435221799508986
870,IRVING PARK,Science ,face_to_face,26,236.0,21.153846153846153,41.950818430384615,9.076923076923077,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.004422871493093949
871,IRVING PARK,Science ,online,5,100.0,8.0,41.959478762,20.0,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.001874098090294046
872,IRVING PARK,Social Studies ,face_to_face,1,18.0,99.0,41.95410156,18.0,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.0003373376562529283
873,IRVING PARK,Sports + Wellness.,face_to_face,6283,94649.0,68.83447397739933,41.95194857469403,15.064300493394875,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,1.7738151014824115
874,IRVING PARK,Sports + Wellness.,online,46,847.0,62.06521739130435,41.95404368086959,18.41304347826087,53359,54048,0.456,0.033,0.417,0.07,0.025,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,0.01587361082479057
875,JEFFERSON PARK,Academic Support,face_to_face,25,318.0,6.16,41.9746330252,12.72,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.012496070418107514
876,JEFFERSON PARK,Building & Fixing Things,face_to_face,3,45.0,9.666666666666666,41.96867752333333,15.0,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.0017683118516189878
877,JEFFERSON PARK,Digital Media.,face_to_face,1,9.0,14.0,41.96870041,9.0,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.00035366237032379754
878,JEFFERSON PARK,Music & Art.,face_to_face,105,1967.0,40.04761904761905,41.96972859828572,18.733333333333334,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.0772948758252122
879,JEFFERSON PARK,Nature.,face_to_face,8,375.0,41.0,41.9713420875,46.875,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.014735932096824897
880,JEFFERSON PARK,Performance.,face_to_face,2,300.0,99.0,41.96866608,150.0,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.011788745677459918
881,JEFFERSON PARK,Reading & Writing.,face_to_face,5,48.0,23.4,41.970820618,9.6,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.001886199308393587
882,JEFFERSON PARK,Science ,face_to_face,9,120.0,8.555555555555555,41.96987830333333,13.333333333333334,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.004715498270983967
883,JEFFERSON PARK,Sports + Wellness.,face_to_face,151,2637.0,20.456953642384107,41.970383196291344,17.4635761589404,25448,60592,0.194,0.01,0.687,0.089,0.021,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,0.10362307450487268
884,KENWOOD,Academic Support,face_to_face,52,1721.0,61.90384615384615,41.80906024384615,33.09615384615385,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.09646320273527269
885,KENWOOD,Academic Support,online,4,50.0,6.0,41.80490875,12.5,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0028025334902752087
886,KENWOOD,Building & Fixing Things,face_to_face,1,0.0,21.0,41.80269241,0.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0
887,KENWOOD,Computers.,face_to_face,7,1868.0,87.42857142857143,41.80581229,266.85714285714283,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.1047026511966818
888,KENWOOD,Digital Media.,face_to_face,2,30.0,15.0,41.80885506,15.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0016815200941651253
889,KENWOOD,Food.,face_to_face,2,0.0,45.5,41.806871415,0.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0
890,KENWOOD,Helping Your Community.,face_to_face,5,50.0,48.4,41.809328461999996,10.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0028025334902752087
891,KENWOOD,Managing Money.,face_to_face,1,0.0,99.0,41.80583954,0.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0
892,KENWOOD,Managing Money.,online,1,18.0,99.0,,18.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0010089120564990752
893,KENWOOD,Music & Art.,face_to_face,194,48732.0,29.737113402061855,41.809564236185544,251.1958762886598,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,2.7314612409618295
894,KENWOOD,Music & Art.,online,5,1883.0,30.2,41.80490875,376.6,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.10554341124376436
895,KENWOOD,Nature.,face_to_face,14,284.0,85.71428571428571,41.81984329499999,20.285714285714285,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.015918390224763185
896,KENWOOD,Performance.,face_to_face,1,7.0,6.0,41.80490112,7.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0003923546886385292
897,KENWOOD,Reading & Writing.,face_to_face,118,1698.0,25.593220338983052,41.80647785322035,14.389830508474576,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0951740373297461
898,KENWOOD,Reading & Writing.,online,1,15.0,6.0,41.80490875,15.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0008407600470825626
899,KENWOOD,Science ,face_to_face,43,4574.0,19.325581395348838,41.80759500930234,106.37209302325581,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.2563757636903761
900,KENWOOD,Social Studies ,face_to_face,1,99.0,99.0,41.80580139,99.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.005549016310744914
901,KENWOOD,Sports + Wellness.,face_to_face,173,2644.0,30.028901734104046,41.813669901502855,15.283236994219653,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.14819797096575305
902,KENWOOD,Sports + Wellness.,online,14,201.0,45.0,41.81095368357143,14.357142857142858,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.01126618463090634
903,KENWOOD,Transportation,face_to_face,1,0.0,21.0,41.80269241,0.0,17841,39371,0.03,0.719,0.165,0.055,0.032,39,1.80%,22.20%,9.20%,5.20%,37.60%,"$48,781 ",36.9,0.0
904,LAKE VIEW,Academic Support,face_to_face,37,508.0,5.756756756756757,41.94861520513514,13.72972972972973,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.005383180739233638
905,LAKE VIEW,Academic Support,online,4,55.0,6.0,41.9454155,13.75,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0005828246863343506
906,LAKE VIEW,Building & Fixing Things,face_to_face,1,18.0,18.0,41.94029999,18.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.00019074262461851475
907,LAKE VIEW,Computers.,face_to_face,6,2856.0,31.5,41.94030316833334,476.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.030264496439471007
908,LAKE VIEW,Digital Media.,face_to_face,9,120.0,99.0,41.95162243555555,13.333333333333334,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.001271617497456765
909,LAKE VIEW,Digital Media.,online,1,12.0,99.0,41.9454155,12.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0001271617497456765
910,LAKE VIEW,Food.,face_to_face,1,40.0,18.0,41.94622421,40.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.000423872499152255
911,LAKE VIEW,Helping Your Community.,face_to_face,5,85.0,33.0,41.950405122,17.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0009007290606985419
912,LAKE VIEW,Helping Your Community.,online,1,12.0,6.0,41.9454155,12.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0001271617497456765
913,LAKE VIEW,Music & Art.,face_to_face,205,579744.0,31.765853658536585,41.94261705526829,2828.019512195122,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,6.143438453713123
914,LAKE VIEW,Music & Art.,online,16,285.0,12.625,41.94584966,17.8125,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.003020091556459817
915,LAKE VIEW,Nature.,face_to_face,6,12.0,83.5,41.948900225,2.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0001271617497456765
916,LAKE VIEW,Nature.,online,2,35.0,6.0,41.9454155,17.5,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0003708884367582231
917,LAKE VIEW,Performance.,face_to_face,32,465.0,14.65625,41.945439340937526,14.53125,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0049275178026449646
918,LAKE VIEW,Performance.,online,1,15.0,16.0,41.9454155,15.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.00015895218718209563
919,LAKE VIEW,Reading & Writing.,face_to_face,96,4928.0,16.729166666666668,41.941468916354204,51.333333333333336,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.05222109189555782
920,LAKE VIEW,Reading & Writing.,online,1,10.0,6.0,41.9454155,10.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.00010596812478806375
921,LAKE VIEW,Science ,face_to_face,10,129.0,6.8,41.945401766,12.9,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0013669888097660224
922,LAKE VIEW,Science ,online,1,20.0,13.0,41.9454155,20.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0002119362495761275
923,LAKE VIEW,Social Studies ,face_to_face,1,99.0,99.0,41.94029999,99.0,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.0010490844354018312
924,LAKE VIEW,Sports + Wellness.,face_to_face,372,6906.0,26.268817204301076,41.94985007430108,18.56451612903226,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.07318158697863683
925,LAKE VIEW,Sports + Wellness.,online,27,355.0,44.333333333333336,41.95184750000002,13.148148148148149,94368,70746,0.076,0.039,0.804,0.06,0.021,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,0.003761868429976263
926,LINCOLN PARK,Academic Support,face_to_face,38,522.0,10.81578947368421,41.922086014210514,13.736842105263158,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.008141493542953397
927,LINCOLN PARK,Academic Support,online,1,10.0,6.0,41.9454155,10.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0001559673092519808
928,LINCOLN PARK,Building & Fixing Things,face_to_face,6,36.0,57.166666666666664,41.92363230666666,6.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0005614823133071309
929,LINCOLN PARK,Customer/Human Service,face_to_face,1,30.0,18.0,41.91899872,30.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.00046790192775594233
930,LINCOLN PARK,Digital Media.,online,3,60.0,99.0,41.91966629,20.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0009358038555118847
931,LINCOLN PARK,Healthcare,face_to_face,2,4.0,37.5,41.926149370000005,2.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,6.238692370079231e-05
932,LINCOLN PARK,Helping Your Community.,face_to_face,6,103.0,31.166666666666668,41.92084757333334,17.166666666666668,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0016064632852954021
933,LINCOLN PARK,Managing Money.,face_to_face,1,18.0,99.0,41.92559815,18.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.00028074115665356543
934,LINCOLN PARK,Music & Art.,face_to_face,230,16272.0,47.178260869565214,41.9206273615652,70.74782608695652,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.2537900056148231
935,LINCOLN PARK,Music & Art.,online,39,4995.0,36.30769230769231,41.921885618918886,128.07692307692307,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0779056709713644
936,LINCOLN PARK,Nature.,face_to_face,37,6562.0,47.67567567567568,41.92189644270268,177.35135135135135,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.10234574833114979
937,LINCOLN PARK,Nature.,online,1,12.0,6.0,41.91665268,12.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.00018716077110237696
938,LINCOLN PARK,Performance.,face_to_face,5,292.0,59.8,41.922439573999995,58.4,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.004554245430157839
939,LINCOLN PARK,Reading & Writing.,face_to_face,101,3562.0,35.2970297029703,41.92326378089112,35.26732673267327,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.05555555555555555
940,LINCOLN PARK,Reading & Writing.,online,4,70.0,6.0,41.91966629,17.5,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0010917711647638656
941,LINCOLN PARK,Science ,face_to_face,14,369.0,46.214285714285715,41.923723221428574,26.357142857142858,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.005755193711398091
942,LINCOLN PARK,Science ,online,3,50.0,11.666666666666666,41.92624028666666,16.666666666666668,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.000779836546259904
943,LINCOLN PARK,Sports + Wellness.,face_to_face,234,3229.0,28.45299145299145,41.921109271837594,13.7991452991453,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.05036184415746459
944,LINCOLN PARK,Sports + Wellness.,online,57,1840.0,84.57894736842105,41.918929451403514,32.280701754385966,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.028697984902364464
945,LINCOLN PARK,Transportation,face_to_face,1,0.0,21.0,41.92515945,0.0,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0
946,LINCOLN PARK,Work + Career ,face_to_face,2,53.0,22.0,41.918764115,26.5,64116,82707,0.056,0.043,0.829,0.051,0.021,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,0.0008266267390354982
947,LINCOLN SQUARE,Academic Support,face_to_face,37,4110.0,22.62162162162162,41.96921961837839,111.08108108108108,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.10406907553237282
948,LINCOLN SQUARE,Building & Fixing Things,face_to_face,35,898.0,55.114285714285714,41.962777490571426,25.65714285714286,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.022738206770820144
949,LINCOLN SQUARE,Digital Media.,face_to_face,2,16.0,14.0,41.97399902,8.0,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.0004051350872306485
950,LINCOLN SQUARE,Helping Your Community.,face_to_face,4,900.0,24.75,41.96279907,225.0,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.022788848656723978
951,LINCOLN SQUARE,Music & Art.,face_to_face,497,188208.0,49.394366197183096,41.963336773822505,378.6881287726358,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,4.765604031094118
952,LINCOLN SQUARE,Music & Art.,online,8,155.0,30.125,41.96558856749999,19.375,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.003924746157546907
953,LINCOLN SQUARE,Nature.,face_to_face,42,1256.0,74.5,41.971129822857165,29.904761904761905,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.03180310434760591
954,LINCOLN SQUARE,Nature.,online,1,100.0,18.0,,100.0,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.002532094295191553
955,LINCOLN SQUARE,Performance.,face_to_face,12,306.0,48.75,41.97555764416667,25.5,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.007748208543286152
956,LINCOLN SQUARE,Reading & Writing.,face_to_face,235,71620.0,29.706382978723404,41.96136336451083,304.7659574468085,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,1.8134859342161902
957,LINCOLN SQUARE,Reading & Writing.,online,4,39.0,26.75,,9.75,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.0009875167751247057
958,LINCOLN SQUARE,Science ,face_to_face,11,34.0,50.45454545454545,41.95520816909092,3.090909090909091,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.000860912060365128
959,LINCOLN SQUARE,Science ,online,1,18.0,99.0,,18.0,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.00045577697313447954
960,LINCOLN SQUARE,Social Studies ,face_to_face,8,2029.0,88.875,41.95235109125,253.625,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.05137619324943661
961,LINCOLN SQUARE,Sports + Wellness.,face_to_face,593,11910.0,37.104553119730184,41.96547382883605,20.084317032040474,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.301572430557314
962,LINCOLN SQUARE,Sports + Wellness.,online,16,365.0,62.9375,41.96631645875001,22.8125,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.009242144177449169
963,LINCOLN SQUARE,Work + Career ,online,1,0.0,24.0,41.9696312,0.0,39493,57749,0.191,0.038,0.631,0.111,0.029,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,0.0
964,LOGAN SQUARE,Academic Support,face_to_face,51,2527.0,8.470588235294118,41.92479391450977,49.549019607843135,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.03471583025374016
965,LOGAN SQUARE,Building & Fixing Things,face_to_face,3,1323.0,18.333333333333332,41.92509333333333,441.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.01817532387245676
966,LOGAN SQUARE,Computers.,face_to_face,1,99.0,99.0,41.92509842,99.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.0013600582489593494
967,LOGAN SQUARE,Digital Media.,face_to_face,1,25.0,24.0,41.91419983,25.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.0003434490527675125
968,LOGAN SQUARE,Food.,face_to_face,31,10.0,17.612903225806452,41.924863016129045,0.3225806451612903,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.000137379621107005
969,LOGAN SQUARE,Food.,online,2,30.0,6.0,41.92173386,15.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.000412138863321015
970,LOGAN SQUARE,Healthcare,face_to_face,9,0.0,18.0,41.92509841999999,0.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.0
971,LOGAN SQUARE,Helping Your Community.,face_to_face,2,50.0,61.5,41.926317215,25.0,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.000686898105535025
972,LOGAN SQUARE,Managing Money.,face_to_face,2,1865.0,99.0,41.92509079,932.5,72791,49610,0.512,0.054,0.392,0.025,0.017,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,0.02562129933645643
