Unnamed: 0,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Scholarship,Average Transportation,Average Free Food,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita,labels,race_labels
548.0,317.9130434782609,6099.913043478261,43.47423921710852,41.954419167115695,1.9189168980711568,1.5480895915678525,0.0,62.290181637622034,53359.0,54048.0,0.45599999999999996,0.033,0.417,0.07,2.3,8.4,5.9,13.6,31.5,38888.0,32.9,0.11431835385742346,7,3
564.0,34.333333333333336,646.5555555555555,29.14297721246949,41.97031442688264,0.0,0.0,0.0,32.525026980623004,25448.0,60592.0,0.194,0.01,0.687,0.089,2.3,7.300000000000001,4.4,7.400000000000001,35.9,35584.0,31.899999999999995,0.025406930035977444,2,2
578.5,32.0,3193.7,44.04157600836005,41.807614977348884,0.0,2.5257731958762886,0.0,63.74685953303818,17841.0,39371.0,0.03,0.719,0.165,0.05500000000000001,1.8,22.2,9.2,5.2,37.6,48781.0,36.9,0.17900902415783865,4,7
599.5,37.95454545454545,27123.136363636364,31.497053528163384,41.945775143585685,0.0817403976825692,0.0,0.0,169.80101467584993,94368.0,70746.0,0.076,0.039,0.8040000000000002,0.05999999999999999,1.8,8.9,3.5,1.8,20.6,74366.0,13.5,0.2874187898825487,8,2
621.0,37.42857142857143,1813.7619047619048,38.61050821739457,41.92298816517261,1.9254658385093166,0.0,0.0,34.85002821891309,64116.0,82707.0,0.055999999999999994,0.043,0.829,0.051,0.9000000000000001,10.1,3.1000000000000005,2.0,24.0,90189.0,11.4,0.02828875639094612,7,2
640.0,88.6470588235294,16586.117647058825,44.47548559329938,41.965339437123895,0.7471298378506332,0.0,0.0,91.4902822461988,39493.0,57749.0,0.191,0.038,0.631,0.111,2.3,8.2,5.4,6.4,26.3,49797.0,24.7,0.41997613873493594,7,2
658.5,79.95,4200.15,32.40318512178833,41.924988405711645,0.0,0.2515000638325035,0.0,100.16475186000045,72791.0,49610.0,0.512,0.054000000000000006,0.392,0.025,2.2,10.3,3.4,8.4,24.3,52835.0,23.4,0.05770150155925866,8,3
685.5,75.70588235294117,10442.058823529413,38.88849798479764,41.8793412200746,0.03651139042167543,0.0,0.0,67.93907963867248,29283.0,78124.0,0.069,0.115,0.627,0.159,4.0,6.7,5.8,4.0,15.9,90513.0,12.9,0.35659115608132397,4,2
713.5,55.13636363636363,6761.363636363636,51.08753354448323,41.854645402031764,0.0,0.0,0.0,62.20232990368711,35769.0,34573.0,0.824,0.030999999999999996,0.12399999999999999,0.01,4.4,13.9,6.5,23.2,28.7,30762.0,42.5,0.18902859001827377,8,6
733.5,42.166666666666664,5564636.111111111,43.676786599446814,41.84178902957571,0.019290123456790122,0.019290123456790122,0.0,24105.144228250578,79288.0,33593.0,0.826,0.131,0.039,0.001,9.2,19.8,8.8,41.1,34.0,14234.0,66.7,70.18257631812016,5,6
749.0,51.76923076923077,7121.153846153846,46.039745565825186,41.82639715019369,0.0,0.0,0.0,269.71928353922283,15612.0,42327.0,0.6479999999999999,0.015000000000000001,0.171,0.157,5.9,14.3,6.0,23.199999999999996,31.4,26934.0,46.8,0.45613334910029757,2,0
761.0,20.363636363636363,253.0909090909091,26.312496392496392,41.9238510897746,0.0,0.0,0.0,11.8454329004329,13426.0,47460.0,0.54,0.045,0.375,0.028,3.8,11.8,4.1,21.0,39.5,28270.0,44.8,0.01885080508646719,2,3
772.5,275.8333333333333,8263352.25,40.72723663837468,41.68913924673825,0.0,0.0,0.0,62128.2374144273,22544.0,56886.0,0.027,0.6670000000000001,0.287,0.004,1.0,11.6,10.6,6.3,40.3,34946.0,37.0,366.54330420510996,5,7
788.5,43.75,31132.05,55.37501183476487,41.69881900825636,0.0,0.0,0.0,9362.321110824563,19093.0,80505.0,0.072,0.052000000000000005,0.86,0.007000000000000001,2.1,5.8,4.4,4.7,38.3,41850.0,30.1,1.6305478447598598,2,2
810.5,60.625,1304.4166666666667,38.59708854535561,41.896006711377076,5.663439044120863,0.0,0.0,66.1479948287296,80484.0,76290.0,0.04900000000000001,0.108,0.721,0.10100000000000002,2.1,10.3,2.7000000000000006,1.8999999999999997,22.100000000000005,104139.0,9.4,0.01620715504530917,7,2
830.5,56.125,1260.3125,38.25603052623764,41.86100312080549,1.5625,12.5,0.0,24.103762012387072,21390.0,75995.0,0.056,0.281,0.481,0.155,1.3,8.1,0.7,4.8,22.0,88784.0,10.2,0.05892064048620845,4,5
853.5,117.06666666666666,3977.133333333333,34.441372131868086,41.87553827894938,8.303288680692527,4.4145442452606805,0.0,48.69621524636009,54881.0,62770.0,0.092,0.315,0.42,0.146,4.5,16.5,6.2,6.1,21.9,59635.0,27.1,0.07246831022272429,7,5
875.0,23.76923076923077,701.3846153846154,30.519255744255744,41.937886791312856,0.0333000333000333,0.0,0.0,16.271536796536797,31867.0,81524.0,0.136,0.023,0.7729999999999999,0.045,0.9000000000000001,5.5,3.2,3.3999999999999995,34.3,77951.0,18.1,0.022009747242746847,4,2
892.5,48.40909090909091,3899.181818181818,54.87350215470701,41.863983508592305,0.0,0.0,0.0,194.8459726517355,35912.0,25797.0,0.05999999999999999,0.914,0.014,0.002,3.7,33.2,17.2,20.4,37.5,17708.0,60.3,0.10857601409506058,3,1
913.5,57.35,6280.95,38.7714094819812,41.96781051876362,0.0,2.291666666666667,0.0,130.03411492831304,17931.0,53305.0,0.18,0.032,0.493,0.257,5.1,14.9,5.1,13.0,39.5,32507.0,44.1,0.35028442362389156,2,9
933.5,63.95,10791.45,60.698695332656236,41.980445408021204,0.0,0.0,0.0,109.70341105049411,37023.0,64477.0,0.12,0.004,0.8149999999999998,0.046,1.2,8.2,4.3,7.3,41.0,45474.0,31.3,0.29147962077627415,0,2
946.0,1.0,43.0,16.8,41.961162568,0.0,0.0,0.0,43.0,12756.0,49601.0,0.095,0.032,0.772,0.083,3.1,10.4,3.8,8.3,32.8,35715.0,32.7,0.0033709626842270005,9,2
958.0,63.578947368421055,12111.368421052632,43.468195058538996,41.95566384111793,1.3297501047047326,0.0,0.0,83.60343388684907,64124.0,52356.0,0.388,0.013,0.535,0.046,4.1,9.3,5.5,12.9,33.9,33413.0,37.7,0.1888741878400073,3,3
974.0,211.6153846153846,5562.692307692308,43.820530324139035,41.70774835675721,11.013986013986015,0.0,0.0,13.748066955434115,7325.0,40059.0,0.078,0.8360000000000001,0.071,0.001,0.6,18.6,15.7,10.8,33.6,27871.0,41.5,0.7594119191388816,9,7
987.0,22.615384615384617,628.0,37.797929706475436,41.65952379443631,0.0,8.041958041958042,0.0,24.489584753078006,6482.0,13380.0,0.02,0.964,0.005,0.0,6.200000000000001,48.0,29.9,13.900000000000002,41.39999999999999,14175.0,76.5,0.09688367787719837,4,1
1002.5,60.888888888888886,278648.8888888889,50.49574607519892,42.01149524912231,0.0,0.0,0.0,1180.7593394303378,54991.0,39482.0,0.24399999999999997,0.263,0.393,0.064,6.4,19.8,4.6,11.7,26.7,29682.0,40.9,5.067172608042932,1,5
1023.0,41.82608695652174,180593.1739130435,41.43823459919754,41.74766410639409,0.23521063633265596,4.633006077606359,0.0,693.9586167034166,44619.0,40142.0,0.01,0.9740000000000001,0.004,0.001,2.2,22.1,19.0,13.8,39.8,20782.0,52.9,4.047450052960476,1,1
1041.5,45.92857142857143,14526.57142857143,52.17915667258124,41.74390110598121,0.0,7.936507936507937,0.0,64.38363558016428,31198.0,31164.0,0.217,0.747,0.019,0.002,3.3,27.5,16.1,17.7,40.3,19443.0,57.0,0.46562508585715195,8,7
1056.0,30.6,124613.53333333334,61.21728186421877,41.71493565567293,0.0,0.0,0.0,1003.0373986409369,15109.0,38594.0,0.318,0.619,0.048,0.001,2.1,30.3,17.1,19.6,43.2,19184.0,59.2,8.24763606680345,1,4
1071.0,43.93333333333333,858.0,48.15019595286081,41.765530189005936,0.0,0.0,0.0,14.45264116668458,52010.0,27903.0,0.017,0.949,0.014,0.002,2.8,29.5,15.8,9.8,37.3,26789.0,50.5,0.016496827533166652,3,1
1087.0,46.411764705882355,17498.470588235294,42.565397665003836,41.96324079164941,0.0,0.0,0.0,10983.343654043621,56362.0,40324.0,0.142,0.2,0.516,0.114,4.4,19.0,3.3,9.8,24.4,42112.0,32.4,0.3104657497646516,8,5
1104.5,47.77777777777778,6125.777777777777,39.71327788847812,41.71786110995669,1.4035087719298245,0.0,0.0,92.94687607632672,26493.0,42053.0,0.01,0.974,0.005,0.0,0.8,20.0,14.2,11.4,40.0,24294.0,45.9,0.2312225032188796,0,1
1121.5,20.5625,513.6875,50.17054760484993,41.79015102527212,0.0,0.0,0.0,22.45874932560979,11717.0,21899.0,0.009,0.97,0.007,0.001,2.3,41.8,17.9,16.5,39.4,16193.0,61.3,0.04384121362123403,2,1
1135.5,19.25,276.1666666666667,11.132046476761618,41.78978975179502,0.0,0.0,0.0,12.547068132600366,18109.0,51003.0,0.79,0.014,0.17899999999999996,0.012000000000000002,5.900000000000001,10.2,9.7,26.0,40.0,23007.0,54.0,0.015250243893459916,2,6
1148.5,35.785714285714285,2444.285714285714,51.119639099189726,41.77978815271832,0.0,0.0,0.0,826.871726804757,35505.0,26654.0,0.022,0.963,0.004,0.001,2.5,29.9,24.5,19.5,43.0,17441.0,64.1,0.06884342245558972,3,1
1162.0,45.53846153846154,6951.076923076923,56.79678294450764,41.77654119975125,0.0,0.0,0.0,161.94192807688373,33355.0,46891.0,0.8,0.042,0.148,0.006,7.0,14.400000000000002,10.3,28.199999999999996,40.89999999999999,21706.0,59.2,0.20839684973997666,0,6
1179.5,25.545454545454547,4778.818181818182,46.60525963082458,41.67620503641809,0.0,0.0,0.0,59.374776613174284,29651.0,39601.0,0.051,0.9309999999999999,0.006,0.0,2.9,19.4,20.7,14.1,39.1,22615.0,53.5,0.1611688705884517,0,1
1201.0,47.42857142857143,3183.8571428571427,38.725213980639516,41.99896026653824,0.0,0.23440660622069917,0.0,118.4935175101067,71942.0,47323.0,0.204,0.111,0.42700000000000005,0.22500000000000003,8.1,14.599999999999998,6.299999999999999,17.4,39.4,27671.0,52.10000000000001,0.04425588867222401,3,9
1222.5,80.63636363636364,2143.7727272727275,34.69370013487847,41.902322713962384,0.0,0.0,0.0,25.940988599165415,82236.0,60720.0,0.291,0.078,0.572,0.038,1.3,8.8,3.2,5.8,19.4,68188.0,14.8,0.026068543305519772,8,3
1241.5,31.8125,126640.1875,44.35969268375506,41.78310228063837,0.0,0.0,0.0,1174.6684715617105,23740.0,27413.0,0.021,0.868,0.068,0.023,4.0,31.1,15.9,12.7,33.8,22457.0,53.1,5.334464511373211,1,1
