,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
34,AUSTIN,STEM,Free,face_to_face,44,2713.0,32.86363636363637,41.89094135977272,61.65909090909091,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
35,AUSTIN,STEM,Free,online,1,0.0,24.0,,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
36,AUSTIN,STEM,Not Free,face_to_face,51,0.0,99.0,41.890745425098046,0.0,98514.0,32358.0,0.089,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1
37,AVALON PARK,Non-STEM,Free,face_to_face,216,63764.0,61.48148148148148,41.746986669907386,295.2037037037037,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
38,AVALON PARK,Non-STEM,Free,online,2,442.0,7.0,,221.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
39,AVALON PARK,Non-STEM,Not Free,face_to_face,67,1741.0,42.95522388059702,41.74360269761199,25.98507462686567,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
40,AVALON PARK,Non-STEM,Not Free,online,1,10.0,13.0,41.743640899999995,10.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
41,AVALON PARK,STEM,Free,face_to_face,1,99.0,99.0,41.74629974,99.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
42,AVALON PARK,STEM,Not Free,face_to_face,4,0.0,99.0,41.74359894,0.0,10185.0,46903.0,0.015,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1
43,AVONDALE,Non-STEM,Free,face_to_face,49,1284.0,55.795918367346935,41.94115385836733,26.20408163265306,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
44,AVONDALE,Non-STEM,Not Free,face_to_face,1513,19611.0,54.46331791143424,41.94931341423012,12.961665565102445,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
45,AVONDALE,Non-STEM,Not Free,online,25,310.0,7.2,41.941311034400016,12.4,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
46,AVONDALE,STEM,Free,face_to_face,1,25.0,19.0,41.94139862,25.0,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
47,AVONDALE,STEM,Not Free,face_to_face,8,35.0,52.5,41.9411354075,4.375,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
48,AVONDALE,STEM,Not Free,online,6,100.0,6.0,41.94128418,16.666666666666668,39262.0,46519.0,0.644,0.025,0.284,0.03,2.7,12.1,5.0,15.7,28.4,35760.0,34.1
49,BELMONT CRAGIN,Non-STEM,Free,face_to_face,243,47670.0,45.58847736625514,41.928935579217985,196.17283950617283,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
50,BELMONT CRAGIN,Non-STEM,Free,online,1,18.0,99.0,,18.0,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
51,BELMONT CRAGIN,Non-STEM,Not Free,face_to_face,481,5202.0,30.20790020790021,41.923550720997554,10.814968814968815,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
52,BELMONT CRAGIN,Non-STEM,Not Free,online,65,789.0,30.50769230769231,41.92312364323077,12.138461538461538,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
53,BELMONT CRAGIN,STEM,Free,face_to_face,6,59.0,11.333333333333334,41.91513442666667,9.833333333333334,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
54,BELMONT CRAGIN,STEM,Not Free,face_to_face,28,100.0,70.46428571428571,41.92331695357144,3.5714285714285716,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
55,BELMONT CRAGIN,STEM,Not Free,online,1,10.0,6.0,41.9228859,10.0,78743.0,42842.0,0.789,0.032,0.152,0.02,7.3,15.2,5.1,31.6,37.0,21612.0,56.3
56,BEVERLY,Non-STEM,Free,face_to_face,310,31221.0,44.73870967741936,41.71952293448408,100.71290322580646,20034.0,83092.0,0.046,0.341,0.588,0.006,0.6,5.7,5.9,2.5,40.4,55811.0,26.3
57,BEVERLY,Non-STEM,Not Free,face_to_face,626,13551.0,30.119808306709267,41.71627142378624,21.64696485623003,20034.0,83092.0,0.046,0.341,0.588,0.006,0.6,5.7,5.9,2.5,40.4,55811.0,26.3
58,BEVERLY,Non-STEM,Not Free,online,8,82.0,34.5,41.71930313000001,10.25,20034.0,83092.0,0.046,0.341,0.588,0.006,0.6,5.7,5.9,2.5,40.4,55811.0,26.3
59,BEVERLY,STEM,Free,face_to_face,17,2490.0,79.76470588235294,41.71859404823528,146.47058823529412,20034.0,83092.0,0.046,0.341,0.588,0.006,0.6,5.7,5.9,2.5,40.4,55811.0,26.3
60,BEVERLY,STEM,Not Free,face_to_face,68,351.0,45.75,41.71530594808822,5.161764705882353,20034.0,83092.0,0.046,0.341,0.588,0.006,0.6,5.7,5.9,2.5,40.4,55811.0,26.3
61,BRIDGEPORT,Non-STEM,Free,face_to_face,300,72370.0,39.29333333333334,41.832661337066455,241.23333333333332,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
62,BRIDGEPORT,Non-STEM,Free,online,2,20.0,61.5,41.83669853,10.0,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
63,BRIDGEPORT,Non-STEM,Not Free,face_to_face,468,6691.0,38.1965811965812,41.83759778978639,14.297008547008547,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
64,BRIDGEPORT,Non-STEM,Not Free,online,18,260.0,88.66666666666667,41.84120559555556,14.444444444444445,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
65,BRIDGEPORT,STEM,Free,face_to_face,1,18.0,99.0,41.83102417,18.0,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
66,BRIDGEPORT,STEM,Not Free,face_to_face,18,75.0,72.44444444444444,41.8269543138889,4.166666666666667,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1
67,BRIGHTON PARK,Non-STEM,Free,face_to_face,320,8907469.0,31.546875,41.816234229249986,27835.840625,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5
