,,TOTAL HOUSEHOLDS,,,,,,,,,TOTAL HOUSEHOLD POPULATION,,,,,,,,,TOTAL EMPLOYMENT (WAGE & SALARY),,,,,,,
56,Garfield Ridge," 12,554 "," 13,266 "," 13,944 "," 14,685 "," 15,235 "," 15,394 "," 15,445 "," 15,454 ",," 35,403 "," 36,844 "," 38,029 "," 39,325 "," 40,393 "," 40,661 "," 40,717 "," 40,717 ",," 14,711 "," 14,829 "," 14,982 "," 15,243 "," 15,585 "," 15,671 "," 15,715 "," 15,724 "
38,Grand Boulevard," 10,323 "," 10,682 "," 11,150 "," 11,716 "," 12,384 "," 13,297 "," 14,447 "," 15,345 ",," 22,482 "," 23,031 "," 23,678 "," 24,498 "," 25,592 "," 27,245 "," 29,348 "," 30,979 ",," 2,436 "," 2,632 "," 2,738 "," 2,889 "," 3,106 "," 3,442 "," 3,919 "," 4,798 "
69,Greater Grand Crossing," 12,645 "," 13,151 "," 13,763 "," 14,467 "," 15,152 "," 15,870 "," 16,214 "," 16,442 ",," 31,833 "," 32,808 "," 33,869 "," 35,125 "," 36,458 "," 37,984 "," 38,715 "," 39,199 ",," 3,178 "," 3,274 "," 3,439 "," 3,695 "," 3,988 "," 4,383 "," 4,739 "," 4,863 "
55,Hegewisch," 3,414 "," 3,725 "," 4,121 "," 4,510 "," 4,906 "," 5,274 "," 5,668 "," 6,438 ",," 8,972 "," 9,582 "," 10,273 "," 10,938 "," 11,688 "," 12,454 "," 13,301 "," 14,961 ",," 2,685 "," 3,393 "," 3,580 "," 3,829 "," 4,122 "," 4,498 "," 5,072 "," 5,384 "
20,Hermosa," 7,315 "," 7,446 "," 7,565 "," 7,655 "," 7,669 "," 7,655 "," 7,649 "," 7,643 ",," 25,503 "," 25,969 "," 26,388 "," 26,745 "," 26,848 "," 26,848 "," 26,848 "," 26,848 ",," 4,048 "," 4,096 "," 4,155 "," 4,239 "," 4,317 "," 4,324 "," 4,329 "," 4,335 "
23,Humboldt Park," 16,899 "," 17,379 "," 17,952 "," 18,630 "," 19,149 "," 19,594 "," 20,003 "," 19,993 ",," 54,697 "," 56,079 "," 57,575 "," 59,429 "," 60,925 "," 62,305 "," 63,522 "," 63,522 ",," 9,266 "," 9,837 "," 10,088 "," 10,441 "," 10,862 "," 11,352 "," 11,979 "," 12,490 "
41,Hyde Park," 13,204 "," 14,579 "," 14,704 "," 14,744 "," 14,779 "," 14,668 "," 14,581 "," 14,586 ",," 23,962 "," 26,064 "," 26,213 "," 26,367 "," 26,542 "," 26,542 "," 26,542 "," 26,542 ",," 27,644 "," 28,154 "," 28,178 "," 28,199 "," 28,227 "," 28,232 "," 28,232 "," 28,233 "
16,Irving Park," 21,870 "," 22,327 "," 22,463 "," 22,492 "," 22,497 "," 22,484 "," 22,428 "," 22,412 ",," 56,042 "," 57,252 "," 57,801 "," 58,191 "," 58,422 "," 58,608 "," 58,608 "," 58,608 ",," 13,131 "," 13,408 "," 13,609 "," 13,820 "," 13,958 "," 14,036 "," 14,044 "," 14,054 "
11,Jefferson Park," 10,704 "," 10,999 "," 11,359 "," 11,851 "," 12,107 "," 12,120 "," 12,124 "," 12,131 ",," 26,522 "," 27,029 "," 27,577 "," 28,372 "," 28,824 "," 28,824 "," 28,824 "," 28,824 ",," 6,076 "," 6,199 "," 6,330 "," 6,552 "," 6,785 "," 6,796 "," 6,799 "," 6,803 "
39,Kenwood," 9,224 "," 9,450 "," 9,779 "," 10,109 "," 10,317 "," 10,303 "," 10,273 "," 10,283 ",," 17,355 "," 17,631 "," 17,991 "," 18,403 "," 18,721 "," 18,744 "," 18,744 "," 18,744 ",," 1,936 "," 1,974 "," 2,039 "," 2,137 "," 2,242 "," 2,275 "," 2,284 "," 2,292 "
6,Lake View," 56,515 "," 57,677 "," 57,993 "," 57,531 "," 56,894 "," 56,027 "," 55,392 "," 55,374 ",," 97,858 "," 100,226 "," 101,180 "," 101,793 "," 101,989 "," 101,989 "," 101,989 "," 101,989 ",," 29,862 "," 31,578 "," 31,840 "," 32,114 "," 32,224 "," 32,242 "," 32,249 "," 32,257 "
7,Lincoln Park," 34,961 "," 36,471 "," 37,184 "," 37,227 "," 37,184 "," 36,693 "," 36,327 "," 36,320 ",," 63,284 "," 65,927 "," 67,183 "," 67,935 "," 68,514 "," 68,523 "," 68,523 "," 68,523 ",," 35,120 "," 36,848 "," 37,072 "," 37,359 "," 37,525 "," 37,647 "," 37,645 "," 37,647 "
